Job Title,Company Name,Location,Job Link,Job Description,Tech Stack
Data engineer II,Swiggy,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-ii-at-swiggy-4127249617,"Way of working - Remote : Employees will have the freedom to work remotely all through the year. These employees, who form a large majority, will come together in their base location for a week, once every quarter. Job Title : Data Engineer Location : Remote first Tenure : 2-3 years About The Team & Role About Swiggy: Swiggy, founded in 2014, is India's leading tech-driven on-demand delivery platform. With a vision to enhance the urban consumer's quality of life through unparalleled convenience, Swiggy connects millions of consumers with a vast network of restaurants and stores across 500+ cities. Our growth stems from cutting-edge technology, innovative thinking, and well-informed decision-making. Join the Swiggy Data Engineering team to collaborate on decoding hyperlocal trends and impact the entire value chain. Position Overview As a Data Engineer at Swiggy, you will be at the heart of our data-driven approach, collaborating with cross-functional teams to transform raw data into actionable insights. Your role will encompass and Join us as a Data Engineer at Swiggy to contribute significantly to our data ecosystem, drive operational efficiency, and be an integral part of our data-driven journey. Your expertise will play a pivotal role in influencing our strategic decisions and reshaping the food delivery landscape What will you get to do here? Join hands with our Data Engineering team to ensure efficient data collection, storage, and processing. Collaborate in designing and optimizing data pipelines for seamless data movement. Work jointly on data architecture decisions to enhance analytics capabilities. Dive into large, complex datasets to create efficient and optimized queries for analysis. Identify bottlenecks and optimize data processing pipelines for improved performance. Implement best practices for query optimization, ensuring swift data retrieval. Contribute to the DataOps framework, automating data processes and enhancing data quality. Implement monitoring and alerting systems to ensure smooth data operations. Collaborate with the team to develop self-serve platforms for recurring analysis. What qualities are we looking for? Bachelor's or Master’s degree in Engineering, Mathematics, Statistics, or a related quantitative field. 2-4 years of data engineering experience. Proficiency (2-4 years) in SQL, R, Python, Excel, etc., for effective data manipulation. Hands-on experience with Snowflake and Spark/Databricks, adept at Query Profiles and bottleneck identification. Apply creative thinking to solve real-world problems using data-driven insights. Embrace a ""fail fast, learn faster"" approach in a dynamic, fast-paced environment. Exhibit proficient verbal and written communication skills. Thrive in an unstructured environment, demonstrating attention to detail and self-direction. Foster collaboration and partnerships across functions. We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, colour, religion, sex, disability status, or any other characteristic protected by the law. Show more Show less","Data Pipelines, Data Quality, Databricks, Perl, Python, SQL, Snowflake, Spark"
Software Engineer,Microsoft,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/software-engineer-at-microsoft-4077421914,"Microsoft is a company where passionate innovators come to collaborate, envision what can be and take their careers further. This is a world of more possibilities, more innovation, more openness, and the sky is the limit thinking in a cloud-enabled world. Microsoft’s Azure Data engineering team is leading the transformation of analytics in the world of data with products like databases, data integration, big data analytics, messaging & real-time analytics, and business intelligence. The products our portfolio include Microsoft Fabric, Azure SQL DB, Azure Cosmos DB, Azure PostgreSQL, Azure Data Factory, Azure Synapse Analytics, Azure Service Bus, Azure Event Grid, and Power BI. Our mission is to build the data platform for the age of AI, powering a new class of data-first applications and driving a data culture. Within Azure Data, the databases team builds and maintains Microsoft's operational Database systems. We store and manage data in a structured way to enable multitude of applications across various industries. We are on a journey to enable developer friendly, mission-critical, AI enabled operational Databases across relational, non-relational and OSS offerings. We are the team defining the future of the Azure Database for MySQL service, as part of the Azure Data group within the C+AI organization. Azure data teams work at the intersection of cloud, storage, and open-source technologies to solve the pressing challenges of our customers. Our team is building the next generation elastic scale MySQL as a database service that is designed to run planet-scale applications. We work with various open-source components such as Kubernetes, Docker Containers, MySQL etc., and we make regular contributions back. This is your opportunity to be part of a very agile team, take on hard distributed system problems, and ship high impact features at a rapid pace. If you love the engineering challenges of designing and delivering cutting-edge, cloud-scale distributed systems technologies, if you are passionate about developing fault tolerant, performant, manageable, and resilient services that host mission critical customer workloads operated on a massive scale, then this role is for you! We do not just value differences or different perspectives. We seek them out and invite them in so we can tap into the collective power of everyone in the company. As a result, our customers are better served. Responsibilities You will be a key member of the engineering team driving critical engineering design of the product. Some of the core responsibilities include designing, owning and shipping software, writing secure, reliable, scalable and maintainable code. Collaborate with other teams for product features that span across teams and geographies, figuring out dependencies and driving them to completion. You should have a solid understanding of the software development cycle. Successful candidates should have the ability to ramp up quickly on new technologies and adopt solutions within the company or from the Open-Source community. In addition, strong problem solving & debugging skills are necessary. Embody our culture and values Qualifications Required/Minimum Qualifications Bachelor’s degree in Computer Science or Engineering or Mathematics or Physics or IT technical discipline or 2+ years of industry engineering experience 2+ years of programming experience in C# OR C++ OR Java OR object-oriented programming 2+ years of designing the software product. Other Requirements Ability to meet Microsoft, customer and/or government security screening requirements are required for this role. These requirements include, but are not limited to the following specialized security screenings: Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud background check upon hire/transfer and every two years thereafter. Preferred/Additional Qualifications Experience building and shipping production grade software or services. Experience building and operating online services and fault-tolerant distributed systems. Experience creating and shipping V1 products using modern development practices. Experience using agile methodologies or test-driven development (TDD). Great curiosity and willingness to question. High enthusiasm, integrity, ingenuity, results-orientation, self-motivation, and resourcefulness in a fast-paced competitive environment. Love the next problem, the next experiment, the next partner. Have a deep desire to work collaboratively, solve problems with groups, find win/win solutions and celebrate successes. Get excited by the challenge of hard technical problems. Solve problems by always leading with deep passion and empathy for customers. Understanding of data structures, algorithms and distributed systems. #azdat #azuredata #azdat #azuredata #mysql #enggjobs Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations. Show more Show less","Azure Cosmos DB, Azure Data Factory, Azure Synapse, C#, Distributed Systems, Docker, Fabric, Java, Kubernetes, Microsoft Fabric, MySQL, PostgreSQL, Power BI, SQL, SSIS, Scala"
Software Engineer,Microsoft,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/software-engineer-at-microsoft-4131147250,"Have you ever imagined a world with an infinite amount of storage available and accessible to everyone? A place where everyone in the world can easily access their data from anywhere at any time via any means (e.g., mobile phones, tablets, PCs, smart devices, etc.). Did you ever desire a universally accessible storage system to record all the knowledge known to mankind or to store all the data collected from all the scientists in the world for them to collaborate upon? Do you want to be part of a team that strives to bring these to reality? As a Software Engineer in the Azure Storage team, you will build, improve and support highly scalable, performant services that deliver highly reliable, secure and available access to storage for our customers. You will face challenges of monitoring, analyzing, and designing for ever-growing data needs of our customers and for ensuring data privacy, protection and compliance. This opportunity will allow you to develop your technical skills in cloud services and storage, accelerate career growth, and provide an opportunity to work in a highly dynamic, flexible, and globally distributed team. Microsoft’s mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others, and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond. Responsibilities Works with appropriate stakeholders to determine user requirements for a feature. Contributes to the identification of dependencies, and the development of design documents for a product area with little oversight. Creates and implements code for a product, service, or feature, reusing code as applicable. Contributes to efforts to break down larger work items into smaller work items and provides estimation. Acts as a Designated Responsible Individual (DRI) and guides other engineers by developing and following the playbook, working on call to monitor system/product/service for degradation, downtime, or interruptions, alerting stakeholders about status and initiates actions to restore system/product/service for simple and complex problems when appropriate. Proactively seeks new knowledge and adapts to new trends, technical solutions, and patterns that will improve the availability, reliability, efficiency, observability, and performance of products while also driving consistency in monitoring and operations at scale. Qualifications Required Qualifications: Bachelor's Degree in Computer Science, or related technical discipline with proven experience coding in languages including, but not limited to, C, C++, C#, Java, JavaScript, or Python. OR equivalent experience. Excellence in software engineering practices. Other Requirements Ability to meet Microsoft, customer and/or government security screening requirements are required for this role. These requirements include, but are not limited to the following specialized security screenings: Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud background check upon hire/transfer and every two years thereafter. Additional / Preferred Qualifications Bachelor's Degree in Computer Science OR related technical field AND 1+ year(s) technical engineering experience with coding in languages including, but not limited to, C, C++, C#, Java, JavaScript, OR Python. OR Master's Degree in Computer Science or related technical field with proven experience coding in languages including, but not limited to, C, C++, C#, Java, JavaScript, or Python OR equivalent experience. Experience developing large-scale , high availability services. Experience working on large-scale automated deployment systems. #Azurecorejobs Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations. Show more Show less","Azure Storage, C#, Java, JavaScript, Python, SSIS, Scala"
Data Engineer II (Remote),HackerRank,India,https://in.linkedin.com/jobs/view/data-engineer-ii-remote-at-hackerrank-4118673890,"At HackerRank, we help over 2,500 of the most prestigious logos across industries find, hire and upskill amazing developer talent using our SaaS-based Developer Skills Platform. We pioneered and continue to lead the developer skills market. At HackerRank, we are passionate about our mission to "" Change the world to value skills over pedigree” . This position is full-time and remote in India. We are seeking a Data Engineer for Our data team which is on a mission to democratize data at HackerRank, making it accessible and actionable for all. We recently achieved a 10x performance boost with our export service, showcasing our drive for impactful, scalable solutions. With a balanced mix of synchronous and async collaboration, we foster efficiency, inclusivity, and seamless teamwork. What You Will Do Evaluate technologies, develop POCs, solve technical challenges and propose innovative solutions for our technical and business problems Delight our stakeholders, customers and partners by building high-quality, well-tested, scalable and reliable business applications. Design, build and maintain streaming and batch data pipelines that can scale. Architect, develop and maintain our Modern lake house Platform using AWS native infrastructure Designing Complex Data Models to deliver insights and enable self-service Take ownership of scaling, performance, security, and reliability of our data infrastructure Hiring, guiding and mentoring junior engineers Work in an agile development environment, participate in code reviews Collaborate with remote development teams and cross-functional teams What You Will Also Bring 3+ years of experience with designing, developing and maintaining data engineering & BI solutions. Experience with Data Modeling for Big Data Solutions. Experience with Spark, Spark Structured Streaming (Scala Spark) Experience with database technologies like Redshift or Trino Experience with BI Solutions like Looker, Power BI, Amazon Quicksight, Tableau etc is a big plus Experience with ETL Design & Orchestration using platforms like Apache Airflow, MageAI etc is a big plus Experience querying massive datasets using Languages like SQL, Hive, Spark, Trino Experience with performance tuning complex data warehouses and queries. Able to solve problems of scale, performance, security, and reliability Self-driven, initiative taker with good communication skills, ability to lead and mentor junior engineers, work with cross-functional teams, drive architecture decisions Bonus Skills Knowledge of Kafka, Kafka Connect and related technologies is a huge bonus You Will Thrive In This Role, If You love solving tough challenges that create real-world impact and are excited to dive into uncharted territories. You enjoy fast-paced, dynamic environments where collaboration isn’t just encouraged—it’s essential You care about understanding product challenges and finding creative solutions, beyond just coding tasks. You value shipping solutions quickly while refining and enhancing them as you go. You’re willing to break boundaries and contribute wherever needed, even if it’s outside your usual responsibilities. Benefits & Perks One-time home office set up stipend Monthly Remote Work Enablement Stipend Professional Development Reimbursement Wellbeing Benefits (Headspace, etc) Flexible paid time off and paid leave for new parents Insurance for all employees (term life, personal accident, medical) along with medical insurance for their dependents Employee stock options, flexible work hours, and time off About HackerRank HackerRank is a Y Combinator alumnus backed by tier-one Silicon Valley VCs with a total funding of over $100 million. The HackerRank Developer Skills Platform is the standard for assessing developer skills for 2,500+ companies across industries and 26.5M developers worldwide. Companies like LinkedIn, Stripe, and Peloton rely on HackerRank to objectively evaluate skills against millions of developers at every hiring process, allowing teams to hire the best and reduce engineering time. Developers rely on HackerRank to turn their skills into great jobs. We’re data-driven givers who take full ownership of our work and love delighting our customers! HackerRank is a proud equal employment opportunity and affirmative action employer. We provide equal opportunity to everyone for employment based on individual performance and qualification. We never discriminate based on race, religion, national origin, gender identity or expression, sexual orientation, age, marital, veteran, or disability status. All your information will be kept confidential according to EEO guidelines. Notice To Prospective HackerRank Job Applicants We’ve noticed fake accounts posing as HackerRank Recruiters on Linkedin and through text. These imposters trick you into paying them for jobs/providing credit check information. Here’s How To Spot The Real Deal Our Recruiters use @hackerrank.com email addresses. We never ask for payment or credit check information to apply, interview, or work here. Thanks for your interest in HackerRank! Show more Show less","Apache Airflow, Data Modeling, Data Pipelines, ETL, Hive, Looker, Power BI, SQL, Scala, Spark, Tableau, Trino"
Senior Data Engineer,Genpact,India,https://in.linkedin.com/jobs/view/senior-data-engineer-at-genpact-4130858844,"Role: Sr/ Lead Databricks Developer (Azure, AWS) Responsibilities Closely work with Architect and lead to design solutions to meet functional and non-functional requirements. Participate to understand architecture and solution design artifacts. Evangelize re-use through the implementation of shared assets. Proactively implement engineering methodologies, standards, and leading practices. Provide insight and direction on roles and responsibilities required for solution operations. Identify, communicate and mitigate Risks, Assumptions, Issues, and Decisions throughout the full lifecycle. Considers the art of the possible, compares various solution options based on feasibility and impact, and proposes actionable plans. Demonstrate strong analytical and technical problem-solving skills. Ability to analyze and operate at various levels of abstraction. Ability to balance what is strategically right with what is practically realistic. Must Have Skills: Must have excellent coding skills either Python or Scala, preferably Python. Must have at least 5+ years of experience in Data Engineering domain with total of 7+ years. Must have implemented at least 2 project end-to-end in Databricks. Must have at least 2+ years of experience on databricks which consists of various components as below Delta lake dbConnect db API 2.0 Databricks workflows orchestration Must be well versed with Databricks Lakehouse concept and its implementation in enterprise environments. Must have strong understanding of Data warehousing and various governance and security standards around Databricks. Must have knowledge of cluster optimization and its integration with various cloud services. Must have good understanding to create complex data pipeline. Must have good knowledge of Data structure & algorithms. Must be strong in SQL and sprak-sql. Must have strong performance optimization skills to improve efficiency and reduce cost. Must have worked on both Batch and streaming data pipeline. Must have extensive knowledge of Spark and Hive data processing framework. Must have worked on any cloud (Azure, AWS, GCP) and most common services like ADLS/S3, ADF/Lambda, CosmosDB/DynamoDB, ASB/SQS, Cloud databases. Must be strong in writing unit test case and integration test. Show more Show less","Data Warehousing, Databricks, Delta Lake, DynamoDB, ELT, Hive, Lakehouse, Python, SQL, Scala, Spark"
Data Engineer,EXL,India,https://in.linkedin.com/jobs/view/data-engineer-at-exl-4128303996,"We are looking for a skilled GCP Data Engineer to design, build, and optimize data pipelines and infrastructure on Google Cloud Platform (GCP). The role involves managing large-scale data processing systems, ensuring data quality, and enabling data-driven decision-making. Key Responsibilities: Design and develop scalable ETL/ELT pipelines on GCP using tools like Dataflow, BigQuery, and Cloud Composer. Build and maintain data architectures, including data lakes and warehouses. Implement data integration and transformation workflows. Optimize data systems for performance, reliability, and cost efficiency. Collaborate with data analysts, scientists, and business teams to meet data requirements. Ensure compliance with security and governance standards. Key Skills: Hands-on experience with GCP services: BigQuery, Dataflow, Pub/Sub, Cloud Storage, etc. Strong expertise in SQL and Python/Java/Scala for data processing. Knowledge of Apache Beam, Airflow, or similar frameworks. Familiarity with CI/CD pipelines and infrastructure-as-code tools (e.g., Terraform). Strong problem-solving and communication skills. This role is perfect for professionals with experience in cloud data engineering who are passionate about building robust and efficient data systems. Show more Show less","Apache Beam, BigQuery, Cloud Storage, Data Lake, Data Pipelines, Data Quality, ELT, ETL, Java, Python, SQL, Scala, Terraform"
Data Engineer,EXL,India,https://in.linkedin.com/jobs/view/data-engineer-at-exl-4128306543,"We are looking for a skilled GCP Data Engineer to design, build, and optimize data pipelines and infrastructure on Google Cloud Platform (GCP). The role involves managing large-scale data processing systems, ensuring data quality, and enabling data-driven decision-making. Key Responsibilities: Design and develop scalable ETL/ELT pipelines on GCP using tools like Dataflow, BigQuery, and Cloud Composer. Build and maintain data architectures, including data lakes and warehouses. Implement data integration and transformation workflows. Optimize data systems for performance, reliability, and cost efficiency. Collaborate with data analysts, scientists, and business teams to meet data requirements. Ensure compliance with security and governance standards. Key Skills: Hands-on experience with GCP services: BigQuery, Dataflow, Pub/Sub, Cloud Storage, etc. Strong expertise in SQL and Python/Java/Scala for data processing. Knowledge of Apache Beam, Airflow, or similar frameworks. Familiarity with CI/CD pipelines and infrastructure-as-code tools (e.g., Terraform). Strong problem-solving and communication skills. This role is perfect for professionals with experience in cloud data engineering who are passionate about building robust and efficient data systems. Show more Show less","Apache Beam, BigQuery, Cloud Storage, Data Lake, Data Pipelines, Data Quality, ELT, ETL, Java, Python, SQL, Scala, Terraform"
Senior Data Engineer,Ticketmaster,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/senior-data-engineer-at-ticketmaster-4122805024,"WHAT THIS ROLE WILL DO This is a hands-on Data role with strong Python/PySpark coding skills Contribute to the enhancements and continuous improvement of performance and reliability of the existing Data Platform Services to meet the requirements from Data Engineering/Product team Design and build self-servicing onboarding and automation capabilities in Core Data Platform services in a scalable, reliable and secure way. Design and build platform capabilities to support onboarding and operation effectiveness Design and develop scalable data platform and integration solutions for various data sources leveraging Databricks Unified Platform Ensure data quality and integrity across all data systems. Develop and maintain documentation for data systems and processes. Monitor and troubleshoot data platform issues. Participate in on-call rotations/Pagerduty for data platform support. TECHNICAL SKILLS/COMPETENCIES Good understanding of Data Lakes, Data Warehouses is MUST to have Software development, coding expertise in the Data Engineering field using any of the Python/Pandas/PySpark is must to have Hands on experience using version control systems such as Git and CI/CD workflows and practice Design and Develop data ingestion services that are highly performant, reliable and scalable Decent expertise using ANSI SQL and Spark SQL is key to have Workflow automation, orchestration using Airflow or equivalent tools stack Hands on working knowledge on at least in one of these: Databricks, Hadoop and related stacks Working experience in at least one of cloud services from any of the Amazon AWS, Google GCP or Microsoft Azure, preferably AWS streaming (Kafka) and batch-based data sources diverse data sources and data formats (xml, json, yaml, parquet, avro, delta) and respective use cases Any visualization experience is an advantage so you can bring clarity to prod incidents by using them is a nice to have An excellent understanding of the nuances that add complexities around time zones, geo, various data formats, data types across different storage systems is nice to have Agile development methodologies using the Atlassian suite: Jira, Confluence Collaborate with cross-functional teams to deliver data solutions and provide technical support and guidance to team members. Stay up to date with the latest data engineering technologies and trends. Show more Show less","Data Lake, Data Quality, Databricks, ELT, Pyspark, Python, SQL, Scala, Spark"
Data Engineer - Python + Snowflake,Smart Lion Private Limited,"Ahmedabad, Gujarat, India",https://in.linkedin.com/jobs/view/data-engineer-python-%2B-snowflake-at-smart-lion-private-limited-4119250076,"Position: Data Engineer - Python + Snowflake Location: 100% Remote Salary: up to 25 LPA Responsibilities Drive products through the development lifecycle, from proof of concept to production-ready systems. Engineer, build, and maintain scalable automated data pipelines. Apply best practices in data management, including processing, quality, and lineage. Manage code repositories and deploy code using GIT. Automate and maintain system operations to ensure product availability, performance, and scalability. Support regular and ad-hoc data querying and analysis. Requirements 3-5 years of experience in Python and data-focused libraries such as Pandas and Numpy, with experience in handling JSON, XML, CSV, and TSV formatted data. 3-5 years of experience with Snowflake and SQL. 2-3 years of experience using version control tools like Git, Bitbucket, and working in a Linux environment. Familiarity with API consumption is a plus. Experience with Java, Tableau, and Agile practices is beneficial. Knowledge of the financial domain is a plus. Benefits Dedicated Learning & Development Budget : Invest in your growth with a budget specifically allocated for learning. Conference Talks Sponsorship : Get fully sponsored and supported if you're speaking at a conference. Cutting-Edge Projects : Work on innovative projects involving the latest in AI technology. Employee-Friendly Leave Policy : Enjoy a variety of leave options to maintain a healthy work-life balance. Comprehensive Insurance : Medical and term life insurance for you and your family’s peace of mind. And More : Additional perks to support your well-being and career development. Show more Show less","Data Pipelines, Java, Python, SQL, Scala, Snowflake, Tableau"
Data Engineer (Bengaluru),Demyst,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-bengaluru-at-demyst-3621008248,"Our Solution Demyst unlocks innovation with the power of data. Our platform helps enterprises solve strategic use cases, including lending, risk, digital origination, and automation, by harnessing the power and agility of the external data universe. We are known for harnessing rich, relevant, integrated, linked data to deliver real value in production. We operate as a distributed team across the globe and serve over 50 clients as a strategic external data partner. Frictionless external data adoption within digitally advancing enterprises is unlocking market growth and allowing solutions to finally get out of the lab. If you like actually to get things done and deployed, Demyst is your new home. The Opportunity As a Data Engineer at Demyst, you will be powering the latest technology at leading financial institutions around the world. You may be solving a fintech's fraud problems or crafting a Fortune 500 insurer's marketing campaigns. Using innovative data sets and Demyst's software architecture, you will use your expertise and creativity to build best-in-class solutions. You will see projects through from start to finish, assisting in every stage from testing to integration. To meet these challenges, you will access data using Demyst's proprietary Python library via our JupyterHub servers, and utilize our cloud infrastructure built on AWS, including Athena, Lambda, EMR, EC2, S3, and other products. For analysis, you will leverage AutoML tools, and for enterprise data delivery, you'll work with our clients' data warehouse solutions like Snowflake, DataBricks, and more. While this is a fully-remote role, successful candidates are expected to be based to Bengaluru where Demyst is building its next hub. As you will be supporting clients globally, you will be expected to align your working hours to the US. Responsibilities Collaborate with internal project managers, sales directors, account managers, and clients' stakeholders to identify requirements and build external data-driven solutions Perform data appends, extracts, and analyses to deliver curated datasets and insights to clients to help achieve their business objectives Understand and keep current with external data landscapes such as consumer, business, and property data. Engage in projects involving entity detection, record linking, and data modelling projects Design scalable code blocks using Demyst's APIs/SDKs that can be leveraged across production projects Govern releases, change management and maintenance of production solutions in close coordination with clients' IT teams Requirements Bachelor's in Computer Science, Data Science, Engineering or similar technical discipline (or commensurate work experience); Master's degree preferred 1-3 years of Python programming (with Pandas experience) Experience with CSV, JSON, parquet, Avro, and other common formats Data cleaning and structuring (ETL experience) Knowledge of API (REST and SOAP), HTTP protocols, API Security and best practices Experience with SQL, Git, and Airflow Strong written and oral communication skills Excellent attention to detail Ability to learn and adapt quickly Willingness to align to US working hours Answering the screening questions: all applicants who do not provide thoughtful and detailed answers to the two questions provided in the application form will be automatically disqualified Benefits Distributed working team and culture Generous benefits and competitive compensation Collaborative, inclusive work culture: all-company offsites and local get togethers in Bangalore Annual learning allowance Office setup allowance Generous paid parental leave Be a part of the exploding external data ecosystem Join an established fast growth data technology business Work with the largest consumer and business external data market in an emerging industry that is fueling AI globally Outsized impact in a small but rapidly growing team offering real autonomy and responsibility for client outcomes Stretch yourself to help define and support something entirely new that will impact billions Work within a strong, tight-knit team of subject matter experts Small enough where you matter, big enough to have the support to deliver what you promise Transfer to US and Australia offices possible for top performers after two years Demyst is committed to creating a diverse, rewarding career environment and is proud to be an equal opportunity employer. We strongly encourage individuals from all walks of life to apply. Show more Show less","Databricks, ETL, Python, SQL, SSIS, Scala, Snowflake"
